SpeciesA,SpeciesB,AColonies,BColonies,Afraction,Bfraction,DilutionFactor,Startingfraction,Error
1,2,0,43,0.0,1.0,10,0.9,0.021733762
1,2,0,58,0.0,1.0,100,0.9,0.016391166
1,2,47,0,1.0,0.0,1000,0.9,0.019995835
1,2,34,0,1.0,0.0,10000,0.9,0.027016598
1,2,24,0,1.0,0.0,100000,0.9,0.037009633
1,2,7,0,1.0,0.0,1000000,0.9,0.099380799
1,2,0,31,0.0,1.0,10,0.1,0.029398258
1,2,2,41,0.046511628,0.953488372,100,0.1,0.036778486
1,2,21,55,0.276315789,0.723684211,1000,0.1,0.05062875
1,2,48,10,0.827586207,0.172413793,10000,0.1,0.049542534
1,2,31,0,1.0,0.0,100000,0.1,0.029398258
1,2,15,0,1.0,0.0,1000000,0.1,0.055459355
1,2,0,139,0.0,1.0,10,0.1,0.0070421
1,2,0,84,0.0,1.0,10,0.9,0.011493
1,2,3,61,0.046875,0.95312,100,0.1,0.02915
1,2,1,131,0.0075758,0.99242,100,0.9,0.010436
1,2,11,44,0.2,0.8,1000,0.1,0.053531
1,2,44,0,1.0,0.0,1000,0.9,0.021272
1,2,28,60,0.31818,0.68182,10000,0.1,0.048989
1,2,38,0,1.0,0.0,10000,0.9,0.024383
1,2,22,2,0.91667,0.083333,100000,0.1,0.061485
1,2,26,0,1.0,0.0,100000,0.9,0.034461
1,2,7,0,1.0,0.0,1000000,0.1,0.099381
1,2,4,0,1.0,0.0,1000000,0.9,0.14086
1,2,0,130,0.0,1.0,10,0.9,0.007518581
1,2,1,114,0.008695652,0.991304348,10,0.5,0.011932654
1,2,0,92,0.0,1.0,10,0.1,0.01052572
1,2,9,3,0.75,0.25,100,0.9,0.116642369
1,2,0,47,0.0,1.0,100,0.5,0.019995835
1,2,25,27,0.480769231,0.519230769,100,0.1,0.067373729
1,2,12,40,0.230769231,0.769230769,1000,0.9,0.057648565
1,2,1,38,0.025641026,0.974358974,1000,0.5,0.0332383
1,2,1,50,0.019607843,0.980392157,1000,0.1,0.025931482
1,2,43,0,1.0,0.0,10000,0.9,0.021733762
1,2,16,29,0.355555556,0.644444444,10000,0.5,0.069353217
1,2,2,77,0.025316456,0.974683544,10000,0.1,0.020855278
1,2,14,0,1.0,0.0,100000,0.9,0.058708527
1,2,31,0,1.0,0.0,100000,0.5,0.029398258
1,2,34,0,1.0,0.0,100000,0.1,0.027016598
1,2,19,0,1.0,0.0,300000,0.9,0.04540298
1,2,14,0,1.0,0.0,300000,0.5,0.058708527
1,2,21,0,1.0,0.0,300000,0.1,0.041627266
1,3,52,27,0.65823,0.34177,10,0.1,0.05252
1,3,46,60,0.43396,0.56604,10,0.9,0.047487
1,3,43,46,0.48315,0.51685,100,0.1,0.0521
1,3,44,38,0.53659,0.46341,100,0.9,0.054094
1,3,44,33,0.57143,0.42857,1000,0.1,0.055357
1,3,41,22,0.65079,0.34921,1000,0.9,0.058858
1,3,37,36,0.50685,0.49315,10000,0.1,0.057349
1,3,25,27,0.48077,0.51923,10000,0.9,0.067374
1,3,25,26,0.4902,0.5098,100000,0.1,0.068029
1,3,24,3,0.88889,0.11111,100000,0.9,0.062957
1,3,4,0,1.0,0.0,1000000,0.1,0.14086
1,3,5,0,1.0,0.0,1000000,0.9,0.12372
1,3,28,22,0.56,0.44,10,0.9,0.068221559
1,3,37,30,0.552238806,0.447761194,10,0.5,0.059453104
1,3,60,28,0.681818182,0.318181818,10,0.1,0.048989241
1,3,22,16,0.578947368,0.421052632,100,0.9,0.077203406
1,3,22,19,0.536585366,0.463414634,100,0.5,0.075194162
1,3,19,29,0.395833333,0.604166667,100,0.1,0.068599434
1,3,11,24,0.314285714,0.685714286,1000,0.9,0.07593939
1,3,20,10,0.666666667,0.333333333,1000,0.5,0.082679728
1,3,21,14,0.6,0.4,1000,0.1,0.079645904
1,3,45,21,0.681818182,0.318181818,10000,0.9,0.056319242
1,3,44,29,0.602739726,0.397260274,10000,0.5,0.056195149
1,3,48,22,0.685714286,0.314285714,10000,0.1,0.054571769
1,3,33,0,1.0,0.0,100000,0.9,0.027766438
1,3,22,1,0.956521739,0.043478261,100000,0.5,0.053204974
1,3,19,0,1.0,0.0,100000,0.1,0.04540298
1,3,16,0,1.0,0.0,300000,0.9,0.052550295
1,3,21,0,1.0,0.0,300000,0.5,0.041627266
1,3,13,0,1.0,0.0,300000,0.1,0.062360956
1,3,5,4,0.555555556,0.444444444,10,0.9,0.143739894
1,3,11,19,0.366666667,0.633333333,10,0.6,0.084274983
1,3,11,13,0.458333333,0.541666667,10,0.4,0.095939933
1,3,10,14,0.416666667,0.583333333,10,0.1,0.095079468
1,3,8,8,0.5,0.5,100,0.9,0.114707867
1,3,14,14,0.5,0.5,100,0.6,0.089802651
1,3,13,11,0.541666667,0.458333333,100,0.4,0.095939933
1,3,15,15,0.5,0.5,100,0.1,0.087038828
1,3,6,6,0.5,0.5,1000,0.9,0.129099445
1,3,4,7,0.363636364,0.636363636,1000,0.6,0.130023731
1,3,4,5,0.444444444,0.555555556,1000,0.4,0.143739894
1,3,6,3,0.666666667,0.333333333,1000,0.1,0.13886593
1,3,11,3,0.785714286,0.214285714,10000,0.9,0.105021006
1,3,20,11,0.64516129,0.35483871,10000,0.6,0.082498656
1,3,8,14,0.363636364,0.636363636,10000,0.4,0.096824584
1,3,15,14,0.517241379,0.482758621,10000,0.1,0.088342348
1,3,8,4,0.666666667,0.333333333,100000,0.9,0.123717915
1,3,10,0,1.0,0.0,100000,0.6,0.076655518
1,3,14,0,1.0,0.0,100000,0.4,0.058708527
1,3,14,0,1.0,0.0,100000,0.1,0.058708527
1,3,3,0,1.0,0.0,1000000,0.9,0.163299316
1,3,3,0,1.0,0.0,1000000,0.6,0.163299316
1,3,6,0,1.0,0.0,1000000,0.4,0.110239638
1,3,3,0,1.0,0.0,1000000,0.1,0.163299316
1,4,43,39,0.52439,0.47561,10,0.1,0.054171
1,4,40,44,0.47619,0.52381,10,0.9,0.053548
1,4,35,38,0.47945,0.52055,100,0.1,0.057308
1,4,28,40,0.41176,0.58824,100,0.9,0.058461
1,4,24,40,0.375,0.625,1000,0.1,0.059263
1,4,28,32,0.46667,0.53333,1000,0.9,0.062863
1,4,24,32,0.42857,0.57143,10000,0.1,0.064472
1,4,30,0,1.0,0.0,10000,0.9,0.030288
1,4,23,9,0.71875,0.28125,100000,0.1,0.077018
1,4,2,0,1.0,0.0,100000,0.9,0.19365
1,4,19,4,0.82609,0.17391,1000000,0.1,0.078446
1,4,3,0,1.0,0.0,1000000,0.9,0.1633
1,4,22,12,0.647058824,0.352941176,10,0.9,0.078964562
1,4,8,23,0.258064516,0.741935484,10,0.5,0.076378914
1,4,26,23,0.530612245,0.469387755,10,0.1,0.069217459
1,4,23,31,0.425925926,0.574074074,100,0.9,0.065547353
1,4,13,14,0.481481481,0.518518519,100,0.5,0.091232804
1,4,19,9,0.678571429,0.321428571,100,0.1,0.084666751
1,4,12,5,0.705882353,0.294117647,1000,0.9,0.10393904
1,4,5,5,0.5,0.5,1000,0.5,0.138675049
1,4,7,6,0.538461538,0.461538462,1000,0.1,0.124721913
1,4,37,1,0.973684211,0.026315789,10000,0.9,0.034037282
1,4,36,0,1.0,0.0,10000,0.5,0.025632146
1,4,19,14,0.575757576,0.424242424,10000,0.1,0.08247861
1,4,26,1,0.962962963,0.037037037,100000,0.9,0.046263475
1,4,20,3,0.869565217,0.130434783,100000,0.5,0.071897363
1,4,26,3,0.896551724,0.103448276,100000,0.1,0.059261849
1,4,23,0,1.0,0.0,300000,0.9,0.038430757
1,4,16,7,0.695652174,0.304347826,300000,0.5,0.0914835
1,4,20,0,1.0,0.0,300000,0.1,0.043433322
1,4,10,6,0.625,0.375,10,0.9,0.111839716
1,4,4,10,0.285714286,0.714285714,10,0.6,0.112418271
1,4,16,20,0.444444444,0.555555556,10,0.4,0.079619273
1,4,8,13,0.380952381,0.619047619,10,0.1,0.099621211
1,4,0,7,0.0,1.0,100,0.9,0.099380799
1,4,5,2,0.714285714,0.285714286,100,0.6,0.149071198
1,4,16,9,0.64,0.36,100,0.4,0.091260256
1,4,6,10,0.375,0.625,100,0.1,0.111839716
1,4,21,11,0.65625,0.34375,1000,0.9,0.080777243
1,4,19,14,0.575757576,0.424242424,1000,0.6,0.08247861
1,4,13,23,0.361111111,0.638888889,1000,0.4,0.077242041
1,4,19,11,0.633333333,0.366666667,1000,0.1,0.084274983
1,4,15,0,1.0,0.0,10000,0.9,0.055459355
1,4,10,13,0.434782609,0.565217391,10000,0.6,0.097349489
1,4,12,8,0.6,0.4,10000,0.4,0.102519465
1,4,11,19,0.366666667,0.633333333,10000,0.1,0.084274983
1,4,7,0,1.0,0.0,100000,0.9,0.099380799
1,4,9,0,1.0,0.0,100000,0.6,0.082988266
1,4,8,2,0.8,0.2,100000,0.4,0.120096115
1,4,13,0,1.0,0.0,100000,0.1,0.062360956
1,4,38,3,0.926829268,0.073170732,1000000,0.9,0.04378925
1,4,33,2,0.942857143,0.057142857,1000000,0.6,0.044279893
1,4,16,10,0.615384615,0.384615385,1000000,0.4,0.090690913
1,4,25,14,0.641025641,0.358974359,1000000,0.1,0.074323098
1,5,1,47,0.020833333,0.979166667,10,0.9,0.027439774
1,5,51,66,0.435897436,0.564102564,100,0.9,0.045279486
1,5,56,11,0.835820896,0.164179104,1000,0.9,0.045303311
1,5,54,0,1.0,0.0,10000,0.9,0.017541062
1,5,28,0,1.0,0.0,100000,0.9,0.032240138
1,5,7,0,1.0,0.0,1000000,0.9,0.099380799
1,5,0,86,0.0,1.0,10,0.1,0.01123523
1,5,32,66,0.326530612,0.673469388,100,0.1,0.046787914
1,5,48,30,0.615384615,0.384615385,1000,0.1,0.054131042
1,5,39,0,1.0,0.0,10000,0.1,0.023802441
1,5,14,0,1.0,0.0,100000,0.1,0.058708527
1,5,10,0,1.0,0.0,1000000,0.1,0.076655518
1,5,0,58,0.0,1.0,10,0.1,0.016391
1,5,6,75,0.074074,0.92593,10,0.9,0.030321
1,5,39,68,0.36449,0.63551,100,0.1,0.045955
1,5,46,61,0.42991,0.57009,100,0.9,0.04722
1,5,32,7,0.82051,0.17949,1000,0.1,0.06115
1,5,43,2,0.95556,0.044444,1000,0.9,0.035283
1,5,41,0,1.0,0.0,10000,0.1,0.022721
1,5,26,0,1.0,0.0,10000,0.9,0.034461
1,5,23,0,1.0,0.0,100000,0.1,0.038431
1,5,15,0,1.0,0.0,100000,0.9,0.055459
1,5,1,0,1.0,0.0,1000000,0.1,0.2357
1,5,3,0,1.0,0.0,1000000,0.9,0.1633
1,5,0,42,0.0,1.0,10,0.9,0.022216482
1,5,1,32,0.03030303,0.96969697,10,0.75,0.038685897
1,5,0,33,0.0,1.0,10,0.5,0.027766438
1,5,0,45,0.0,1.0,10,0.25,0.020828617
1,5,2,31,0.060606061,0.939393939,10,0.1,0.046656947
1,5,11,18,0.379310345,0.620689655,100,0.9,0.08610547
1,5,11,22,0.333333333,0.666666667,100,0.75,0.079110703
1,5,17,18,0.485714286,0.514285714,100,0.5,0.081081081
1,5,5,23,0.178571429,0.821428571,100,0.25,0.071842121
1,5,2,21,0.086956522,0.913043478,100,0.1,0.063730201
1,5,98,4,0.960784314,0.039215686,1000,0.9,0.020877313
1,5,57,3,0.95,0.05,1000,0.75,0.030951523
1,5,91,14,0.866666667,0.133333333,1000,0.5,0.033407493
1,5,47,31,0.602564103,0.397435897,1000,0.25,0.054433105
1,5,55,16,0.774647887,0.225352113,1000,0.1,0.049133732
1,5,37,0,1.0,0.0,10000,0.9,0.02499178
1,5,32,0,1.0,0.0,10000,0.75,0.028559068
1,5,33,0,1.0,0.0,10000,0.5,0.027766438
1,5,25,0,1.0,0.0,10000,0.25,0.035689782
1,5,41,0,1.0,0.0,10000,0.1,0.022721126
1,5,22,0,1.0,0.0,100000,0.9,0.039965263
1,5,31,0,1.0,0.0,100000,0.75,0.029398258
1,5,19,0,1.0,0.0,100000,0.5,0.04540298
1,5,25,0,1.0,0.0,100000,0.25,0.035689782
1,5,25,0,1.0,0.0,100000,0.1,0.035689782
1,5,19,0,1.0,0.0,300000,0.9,0.04540298
1,5,25,0,1.0,0.0,300000,0.75,0.035689782
1,5,18,0,1.0,0.0,300000,0.5,0.047559487
1,5,10,0,1.0,0.0,300000,0.25,0.076655518
1,5,19,0,1.0,0.0,300000,0.1,0.04540298
1,5,0,25,0.0,1.0,10,0.9,0.035689782
1,5,1,17,0.055555556,0.944444444,10,0.1,0.065465367
1,5,2,22,0.083333333,0.916666667,100,0.9,0.06148502
1,5,2,13,0.133333333,0.866666667,100,0.1,0.089854425
1,5,24,5,0.827586207,0.172413793,1000,0.9,0.069840758
1,5,14,18,0.4375,0.5625,1000,0.1,0.083928506
1,5,12,0,1.0,0.0,10000,0.9,0.066496381
1,5,21,0,1.0,0.0,10000,0.1,0.041627266
1,5,16,0,1.0,0.0,100000,0.9,0.052550295
1,5,15,0,1.0,0.0,100000,0.1,0.055459355
1,5,8,0,1.0,0.0,1000000,0.9,0.090453403
1,5,1,0,1.0,0.0,1000000,0.1,0.23570226
3,2,0,162,0.0,1.0,10,0.9,0.0060605
3,2,0,82,0.0,1.0,10,0.1,0.011764
3,2,0,75,0.0,1.0,100,0.9,0.012819
3,2,1,100,0.009901,0.9901,100,0.1,0.013531
3,2,0,32,0.0,1.0,1000,0.9,0.028559
3,2,0,30,0.0,1.0,1000,0.1,0.030288
3,2,15,16,0.48387,0.51613,10000,0.9,0.08571
3,2,27,29,0.48214,0.51786,10000,0.1,0.065056
3,2,23,24,0.48936,0.51064,100000,0.9,0.070696
3,2,24,6,0.8,0.2,100000,0.1,0.071963
3,2,4,0,1.0,0.0,1000000,0.9,0.14086
3,2,6,0,1.0,0.0,1000000,0.1,0.11024
3,2,0,56,0.0,1.0,10,0.9,0.016946633
3,2,0,60,0.0,1.0,10,0.75,0.015870951
3,2,0,50,0.0,1.0,10,0.5,0.018864435
3,2,0,55,0.0,1.0,10,0.25,0.017238726
3,2,0,44,0.0,1.0,10,0.1,0.021271568
3,2,0,60,0.0,1.0,100,0.9,0.015870951
3,2,0,32,0.0,1.0,100,0.75,0.028559068
3,2,0,34,0.0,1.0,100,0.5,0.027016598
3,2,0,36,0.0,1.0,100,0.25,0.025632146
3,2,0,43,0.0,1.0,100,0.1,0.021733762
3,2,0,53,0.0,1.0,1000,0.9,0.017854191
3,2,1,45,0.02173913,0.97826087,1000,0.75,0.028546616
3,2,0,52,0.0,1.0,1000,0.5,0.0181787
3,2,0,35,0.0,1.0,1000,0.25,0.026306176
3,2,0,48,0.0,1.0,1000,0.1,0.019603921
3,2,7,24,0.225806452,0.774193548,10000,0.9,0.073495644
3,2,4,39,0.093023256,0.906976744,10000,0.75,0.046336536
